"id","age","country","education","occupation[a1]","occupation[a2]","occupation[a3]","occupation[a4]","occupation[a5]","flossprojects[p1_name]","flossprojects[p1_tasks]","flossprojects[p1_duration]","flossprojects[p2_name]","flossprojects[p2_tasks]","flossprojects[p2_duration]","flossprojects[p3_name]","flossprojects[p3_tasks]","flossprojects[p3_duration]","flossprojects[p4_name]","flossprojects[p4_tasks]","flossprojects[p4_duration]","flossprojects[p5_name]","flossprojects[p5_tasks]","flossprojects[p5_duration]","usedsystems1[getenv]","usedsystems1[envvar]","usedsystems1[xsettings]","usedsystems1[gsettings]","usedsystems1[qsettings]","usedsystems1[kconfig]","usedsystems1[dconf]","usedsystems1[cfgfiles]","usedsystems1[freedesktop]","usedsystems1[registra]","usedsystems1[plist]","usedsystems2[getenv]","usedsystems2[envvar]","usedsystems2[xsettings]","usedsystems2[gsettings]","usedsystems2[qsettings]","usedsystems2[kconfig]","usedsystems2[dconf]","usedsystems2[cfgfiles]","usedsystems2[freedesktop]","usedsystems2[registra]","usedsystems2[plist]","flosscontribution[a1]","flosscontribution[a2]","flosscontribution[a3]","flosscontribution[a4]","flosscontribution[a5]","flosscontribution[a6]","flosscontribution[a7]","introduceconfintrg[a1]","introduceconfintrg[a2]","introduceconfintrg[a3]","introduceconfintrg[a4]","introduceconfintrg[a5]","specifyconfig[a1]","specifyconfig[a2]","specifyconfig[a3]","specifyconfig[a4]","specifyconfig[a5]","specifyconfig[a6]","specifyconfig[a7]","specifyconfig[a8]","specifyconfig[a9]","specifyconfig[a10]","specifyconfig[a11]","specifyconfig[a12]","configreduction[a1]","configreduction[a2]","configreduction[a3]","configreduction[a4]","configreduction[a5]","configreduction[a6]","configreduction[a7]","configreduction[a8]","configreduction[a9]","effortconfexp[a1]","effortconfexp[a2]","effortconfexp[a3]","effortconfexp[a4]","effortconfexp[a5]","effortconfexp[a6]","effortconfexp[a7]","effortconfexp[a8]","effortconfexp[a9]","importancecfgoptions[a1]","importancecfgoptions[a2]","importancecfgoptions[a3]","importancecfgoptions[a4]","importancecfgoptions[a5]","importancecfgoptions[a6]","importancecfgoptions[a7]","getenv[a1]","getenv[a2]","getenv[a3]","getenv[a4]","getenv[a5]","getenv[a6]","getenv[a7]","getenv[a8]","clusterconf[a1]","clusterconf[a2]","clusterconf[a3]","clusterconf[a4]","clusterconf[a5]","clusterconf[a6]","informaboutcfg[a1]","informaboutcfg[a2]","informaboutcfg[a3]","informaboutcfg[a4]","informaboutcfg[a5]","informaboutcfg[a6]","informaboutcfg[a7]","informaboutcfg[a8]","informaboutcfg[a9]","syncconfig[a1]","syncconfig[a2]","syncconfig[a3]","syncconfig[a4]","syncconfig[a5]","syncconfig[a6]","importantbenefits[a1]","importantbenefits[a2]","importantbenefits[a3]","importantbenefits[a4]","importantbenefits[a5]","importantbenefits[a6]","importantbenefits[a7]","importantbenefits[a8]","importantbenefits[a9]","importantbenefits[a10]","importantbenefits[a11]","importantbenefits[a12]","importantbenefits[a13]","importantbenefits[a14]","donation"
"179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"180","15-25","US","a1","1","1","0","0","0","48","contributor","2","49","bug-reporter","0.2","","","","","","","","","","used3","used3","used1","used3","used1","used3","used3","used4","used3","used1","used1","help","neutral","","help","","help","neutral","good","neutral","","","0","0","0","0","0","1","0","a3","a4","a5","a5","","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","1","1","1","0","0","0","a4","a4","a4","a4","a4","a4","a4","1","0","0","0","0","0","0","0","0","0","0","1","0","0","a4","a4","a4","a4","a4","a4","a4","a4","a4","1","1","0","0","0","0","a3","a4","a4","a4","a4","a4","a3","a3","a4","a5","a4","a4","a4","a3","0"
"181","26-31","AT","a3","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"183","26-31","SI","a3","1","1","1","1","0","50","member","1","","","","","","","","","","","","","used4","used4","used1","used1","used4","used1","used1","used4","used4","used1","used1","good","good","","","neutral","","","good","confused","","","0","1","0","1","1","0","0","a5","a5","a5","a2","","0","0","1","1","1","1","1","1","1","1","0","0","","","","","","","","","1","1","1","0","1","1","0","1","1","0","a4","a1","a4","a5","a4","a4","a1","0","1","0","1","0","1","1","0","1","1","1","0","0","0","a5","a5","a4","a4","a4","a1","a3","a1","a4","0","1","1","0","0","0","a5","a4","a5","a4","a5","","a5","a5","a3","","a5","a5","","","1"
"184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"185","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"186","26-31","US","a3","1","0","0","0","0","51","contributor","0.9","","","","","","","","","","","","","used4","used4","used1","used1","used1","used1","used1","used4","used1","used3","used1","good","neutral","","","","","","neutral","","confused","","","","","","","","1","a4","a5","a4","a3","","1","0","1","0","0","0","1","1","1","0","0","0","1","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","a4","a5","a5","a5","a1","a1","a4","0","1","0","1","0","0","0","0","1","1","0","0","1","0","a5","a5","a4","a4","a3","a4","a4","a3","a2","0","1","1","1","0","0","a5","a4","a5","a3","a3","a4","a5","a3","a3","a5","a4","a5","a5","","1"
"187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"188","32-37","DE","a4","1","0","0","0","0","52","developer","1","","","","","","","","","","","","","used4","used4","","used3","","used4","used3","used3","used3","","","help","help","","help","","neutral","help","help","help","","","","","","","","","1","","a4","","","","0","1","1","1","1","0","0","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","1","1","0","0","0","0","0","a3","a1","a3","a2","a3","a4","a1","1","0","0","0","0","0","0","0","1","1","1","1","1","0","a4","a4","a3","a3","a3","a3","a2","a3","a3","0","1","1","0","0","0","a4","a4","a2","a3","a2","a3","a2","a2","a3","a2","a4","a4","a3","","1"
"189","","","","0","0","0","0","0","","","","","","","","","","","","","","","","used1","used3","used3","","used1","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"190","26-31","KZ","a4","1","0","0","0","0","53","developer","1","","","","","","","","","","","","","","","","","used1","","","","","","","","","","","","","","","","","","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"193","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","0"
"194","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","0"
"195","15-25","AT","a2","1","1","1","0","0","","","","","","","","","","","","","","","","used4","used4","used1","used3","used1","used1","used1","used4","used1","used1","used1","neutral","neutral","","help","","","","neutral","","","","1","1","0","1","0","1","0","a5","a5","a5","a3","","1","1","1","1","1","1","1","1","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","a4","a4","a5","a5","a4","","a4","0","0","0","1","0","0","0","0","0","1","1","1","1","0","a4","a5","a4","a2","a4","a2","a2","","a5","0","1","0","0","0","0","a5","a5","a4","a2","a1","a1","a5","a2","a3","a1","a4","a5","a2","","0"
"198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"197","26-31","NL","a3","1","0","0","1","0","51","contributor","0.5","54","contributor","0.5","55","contributor","0.5","56","bug-reporter","2","57","contributor","0.2","used3","used3","used1","used1","used1","used1","used1","used1","used1","used1","used4","help","neutral","","","","","","","","","help","0","0","0","0","0","0","0","a2","a2","a3","","","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","","a2","a4","a3","","","a2","1","0","1","0","0","0","0","0","1","1","0","0","0","0","a4","a5","a2","a2","a2","a2","a3","a3","a2","0","1","0","0","0","0","a4","a2","a3","a3","","a2","a2","a3","a4","a1","a5","a4","a4","","1"
"199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"200","26-31","DE","a4","0","0","1","1","0","58","developer","3","59","developer","1","","","","","","","","","","used4","used4","used3","used3","used4","used3","used3","used4","used3","","","neutral","","","","neutral","","help","","","","","0","0","1","1","1","0","0","a4","","","","","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","a4","","a4","a4","","","","0","0","1","0","0","0","0","0","0","1","0","0","0","0","a3","a5","a4","a4","a3","a3","a1","a1","a3","1","1","0","0","0","0","","","","","","","a5","","a4","","","a3","","","0"
"201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"203","15-25","AT","a3","1","1","1","0","0","1","contributor","2","","","","","","","","","","","","","used1","used3","used1","used3","used1","used1","used3","used4","used1","used4","used3","","help","","confused","","","confused","neutral","","confused","confused","0","0","1","0","0","1","0","a4","a4","a4","a3","","1","1","1","0","0","0","0","1","0","0","0","0","","","","","","","","","1","1","0","0","1","0","0","0","0","0","a2","a2","a3","a5","a3","a2","a1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","a5","a4","a4","a4","a3","a1","a2","a3","a2","0","1","1","0","0","0","a4","a4","a4","a2","a4","a4","a4","a4","a5","a4","a5","a5","a2","","1"
"204","32-37","DE","a3","1","0","0","0","0","","","","","","","","","","","","","","","","used4","used4","used1","used1","used1","used1","used1","used4","used3","used1","used1","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"210","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","0"
"211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"214","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"222","26-31","BR","a3","1","0","0","0","0","xfce","developer","2","","","","","","","","","","","","","used3","used3","used3","used3","used1","used1","used3","used4","used1","used1","used1","confused","neutral","help","help","","","help","","","","","0","0","0","1","0","0","0","a3","a4","a2","a4","","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","a4","a1","a2","a3","a1","a3","a1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","a3","a2","a5","a4","a4","a2","a3","a1","a4","","","","","","1","a5","a4","a4","a3","a3","a3","a3","a2","a3","a1","a4","a4","a3","","1"
"223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"226","","AT","a2","0","0","1","0","0","21","developer","4","60","developer,maintainer","1","","","","","","","","","","used4","used4","used1","used1","used1","used1","used1","used4","used3","used3","used1","help","help","","","","","","help","help","","","1","0","1","1","0","1","0","a4","a3","a3","a4","","0","1","0","1","0","1","0","0","1","0","0","0","","","","","","","","","1","1","1","0","0","0","0","0","0","0","a4","a1","a3","a3","a3","a1","a1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","a3","a3","a2","a2","a2","a1","a3","a2","a4","0","0","1","0","0","0","a4","a4","a3","a2","a3","a2","a3","a2","a2","a1","a3","a4","a1","","1"
"227","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"230","38-57","AT","a3","1","1","0","0","0","openstreetmap","mapper,designer,community","7","61","manager","0","62","usability-designer","0","63","contributor","0","64","manager","12","used4","used4","used1","used1","used1","used1","used1","used4","used3","used1","used1","help","neutral","","","","","","neutral","help","","","0","0","0","1","1","0","0","a4","a4","a5","a4","","1","0","1","0","0","1","0","1","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","1","0","1","1","0","0","a5","a4","a2","a5","a3","a3","a3","1","0","0","1","0","0","0","0","1","1","0","0","1","0","a2","a3","a4","a4","a3","a3","a2","a2","a3","0","1","1","0","0","0","a4","a3","a3","a3","a3","a4","a4","a2","a3","a4","a4","a4","a4","","1"
"231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"232","","DE","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"233","15-25","AT","a1","1","1","0","0","0","kde","developer","3","","","","","","","","","","","","","used3","used4","used1","used1","used4","used4","used3","used3","used3","used3","used1","help","confused","","","neutral","neutral","confused","help","help","confused","","1","0","1","0","0","0","0","a4","","a3","a2","","1","0","1","1","1","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","a5","a4","a4","a4","","a4","a3","1","0","0","0","0","0","0","0","1","1","1","0","0","0","a4","a5","a3","a4","a4","a3","a4","a2","a3","0","1","1","0","0","0","a2","a2","a2","a3","a3","a4","a4","a3","a3","a2","a5","a5","a2","","1"
"234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"236","38-57","SE","a1","1","0","0","0","0","curl","developer","20","firefox","developer","3","65","developer","7","66","developer","10","67","developer","8","used4","used4","used1","used1","used1","used1","used3","used3","used3","used3","used1","neutral","good","","","","","help","","","","","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"241","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","0"
"242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"243","32-37","AT","a2","1","1","0","0","0","68","developer","0.5","69","developer","7","70","developer","2","71","developer","3","","","","used4","used4","used1","used1","used1","used1","used1","used4","used3","used4","used1","neutral","neutral","","","","","","neutral","neutral","neutral","","1","0","0","1","0","0","0","a4","a4","a4","a4","","1","1","1","1","1","1","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","a5","a4","a4","a4","a4","a3","a3","a2","a5","","","","","","1","a4","a5","a3","","","","a4","","a1","","a4","a5","a4","","1"
"244","26-31","DE","a5","0","0","0","1","0","","","","","","","","","","","","","","","","used3","used4","used3","used1","used1","used3","used1","used3","used3","used1","used1","help","neutral","help","","","neutral","","good","neutral","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"247","32-37","AT","a5","1","0","0","0","0","42","developer","5","","","","","","","","","","","","","used4","used4","used1","used4","used3","used1","used3","used3","used1","used3","used3","neutral","neutral","","confused","","","","confused","","","","","","","","","","1","a5","a4","a1","a3","","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","1","1","0","1","1","0","0","0","0","a3","a2","a4","a5","a5","a5","a5","1","1","0","0","0","0","0","0","0","1","0","0","0","0","a2","a4","a3","a5","a4","a1","a5","a3","a1","0","1","1","0","0","0","a5","a4","a3","a3","a3","a3","a4","a4","a5","a3","a4","a4","a4","","1"
